epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,796.335,0.97423,1.86735,1.02341,0.96512,0.65115,0.91935,0.59966,0.99547,2.60959,0.99029,0.000658824,0.000658824,0.000658824
2,1519.15,0.95543,1.09649,1.0046,0.9605,0.92982,0.97987,0.72809,0.88234,1.17306,0.97477,0.00123801,0.00123801,0.00123801
3,2209.23,0.91482,0.88769,0.99679,0.97022,0.95,0.98139,0.73295,0.8892,0.79661,0.9535,0.00172919,0.00172919,0.00172919
